"id","nama_toko","id_toko","alamat","kontak","titik_lokasi","",""
"107","Outlet Brongkalan","1070801","Brongkalan, Jawa Timur","0801","-7.2575,112.7674","",""
"108","Outlet Mulyorejo","1080037","Mulyorejo, Jawa Timur","0037","-7.2629,112.7839","",""
"109","Outlet Semampir","1090001","Semampir, Jawa Timur","0001","-7.3082,112.7802","",""
"110","Outlet Pacarkeling","1100825","Pacarkeling, Jawa Timur","0825","-7.258,112.7581","",""
"111","Outlet Kenjeran","1110186","Kenjeran, Jawa Timur","0186","-7.2252,112.7708","",""
"112","Outlet Kepuh","1120643","Kepuh, Jawa Timur","0643","-8.006,112.6188","",""
"113","Outlet Gununganyar","1131","Gununganyar, Jawa Timur","1","-7.3409,112.7821","",""
"114","Outlet Gununganyartambak Tengah","1140786","Gununganyartambak Tengah, Jawa Timur","0786","-7.3375,112.8019","",""
"115","Outlet Selagalas","1150552","Selagalas, Nusa Tenggara Barat","0552","-8.5811,116.1436","",""
"116","Outlet Sayang Lauq","1160052","Sayang Lauq, Nusa Tenggara Barat","0052","-8.5694,116.1325","",""
"117","Outlet Karangkecicang","1170057","Karangkecicang, Nusa Tenggara Barat","0057","-8.5955,116.1313","",""
"118","Outlet Sindu","1180747","Sindu, Nusa Tenggara Barat","0747","-8.5832,116.1351","",""
"119","Outlet Babakan Barat","1190684","Babakan Barat, Nusa Tenggara Barat","0684","-8.6022,116.1371","",""
"120","Outlet Karangparwa","1200323","Karangparwa, Nusa Tenggara Barat","0323","-8.6034,116.1271","",""
"121","Outlet Banjar Kayangan","1210698","Banjar Kayangan, Bali","0698","-8.6227,115.2295","",""
"122","Outlet Banjar Batanpoh","1220375","Banjar Batanpoh, Bali","0375","-8.6761,115.2579","",""
"123","Outlet Karyadharma","1230825","Karyadharma, Bali","0825","-8.7037,115.2187","",""
"124","Outlet Banjar Medura","1240799","Banjar Medura, Bali","0799","-8.6926,115.2533","",""
"125","Outlet Banjar Paangkelod","1250522","Banjar Paangkelod, Bali","0522","-8.6238,115.24","",""
"126","Outlet Banjar Pemangkalan","1260214","Banjar Pemangkalan, Bali","0214","-8.6243,115.2003","",""
"127","Outlet Banjar Kertasari","1270429","Banjar Kertasari, Bali","0429","-8.6219,115.2099","",""
"128","Outlet Dajan Tangluk","1280376","Dajan Tangluk, Bali","0376","-8.6458,115.2389","",""
"129","Outlet Banjar Taman","1290282","Banjar Taman, Bali","0282","-8.6818,115.2564","",""
"130","Outlet Banjar Kertajiwa","13004","Banjar Kertajiwa, Bali","04","-8.6402,115.2618","",""
"131","Outlet Banjar Batur","1310045","Banjar Batur, Bali","0045","-8.5997,115.2135","",""
"132","Outlet Banjar Jabejero","132015","Banjar Jabejero, Bali","015","-8.5988,115.2401","",""
"133","Outlet Dumandesa","133078","Dumandesa, Nusa Tenggara Barat","078","-8.5643,116.1492","",""
"134","Outlet Kenali Asam","1340592","Kenali Asam, Jambi","0592","-1.6646,103.6204","",""
"135","Outlet Klampok","1350777","Klampok, Jawa Timur","0777","-8.1299,112.1617","",""
"136","Outlet Semampirbarat","1360659","Semampirbarat, Jawa Timur","0659","-7.3722,112.7728","",""
"137","Outlet Kedungpeluk","1370407","Kedungpeluk, Jawa Timur","0407","-7.4824,112.7546","",""
"138","Outlet Buncitan","1380506","Buncitan, Jawa Timur","0506","-7.3961,112.7813","",""
"139","Outlet Segorotambak","1390298","Segorotambak, Jawa Timur","0298","-7.3667,112.8075","",""
"140","Outlet Dukuhgisikcemandi","1400127","Dukuhgisikcemandi, Jawa Timur","0127","-7.3899,112.8066","",""
"141","Outlet Banjarkemuning","1410863","Banjarkemuning, Jawa Timur","0863","-7.3867,112.8085","",""
"142","Outlet Candisari","1420224","Candisari, Jawa Timur","0224","-7.396,112.808","",""
"143","Outlet Sedatigede","1430438","Sedatigede, Jawa Timur","0438","-7.3768,112.7623","",""
"144","Outlet Wadungasri","1440966","Wadungasri, Jawa Timur","0966","-7.3451,112.7683","",""
"145","Outlet Damarsi","1450312","Damarsi, Jawa Timur","0312","-7.4177,112.7598","",""
"146","Outlet Sawohan","146022","Sawohan, Jawa Timur","022","-7.4272,112.7701","",""
"147","Outlet Kalanganyartambak","147038","Kalanganyartambak, Jawa Timur","038","-7.3995,112.7938","",""
"148","Outlet Pepe","1480756","Pepe, Jawa Timur","0756","-7.4024,112.7692","",""
"149","Outlet Sedatiagung","1490658","Sedatiagung, Jawa Timur","0658","-7.3819,112.7581","",""
"150","Outlet Dares","1500637","Dares, Jawa Timur","0637","-7.369,112.7624","",""
"151","Outlet Tambaksumur","1510905","Tambaksumur, Jawa Timur","0905","-7.3485,112.7729","",""
"152","Outlet Berbek","1520759","Berbek, Jawa Timur","0759","-7.3464,112.7636","",""
"153","Outlet Sedati","153077","Sedati, Jawa Timur","077","-7.3952,112.7675","",""
"154","Outlet Tambaksawah","1540145","Tambaksawah, Jawa Timur","0145","-7.3601,112.7778","",""
"155","Outlet Wedoro","1550403","Wedoro, Jawa Timur","0403","-7.3511,112.7514","",""
"156","Outlet Sidoarjo","1560322","Sidoarjo, Jawa Timur","0322","-7.4478,112.7183","",""
"157","Outlet Dukuh Tengah","1570829","Dukuh Tengah, Jawa Timur","0829","-7.416,112.7538","",""
"158","Outlet Tambakoso","1580541","Tambakoso, Jawa Timur","0541","-7.346,112.8039","",""
"159","Outlet Kedaton","1590942","Kedaton, Lampung","0942","-5.3835,105.2596","",""
"160","Outlet Panjang","1600352","Panjang, Lampung","0352","-5.4759,105.3198","",""
"161","Outlet Gunungmuncang","1610416","Gunungmuncang, Jawa Barat","0416","-7.351,108.2382","",""
"162","Outlet Cikondang","1620813","Cikondang, Jawa Barat","0813","-7.2963,108.1689","",""
"163","Outlet Cibogor","1630912","Cibogor, Jawa Barat","0912","-7.3141,108.2299","",""
"164","Outlet Jatiwangi","1640093","Jatiwangi, Jawa Barat","0093","-7.3785,108.258","",""
"165","Outlet Rancageneng Satu","1650405","Rancageneng Satu, Jawa Barat","0405","-7.3176,108.1861","",""
"166","Outlet Panyarang","1660209","Panyarang, Jawa Barat","0209","-7.3472,108.1873","",""
"167","Outlet Mancogeh","1670643","Mancogeh, Jawa Barat","0643","-7.3087,108.2172","",""
"168","Outlet Cibangun Tengah","1680203","Cibangun Tengah, Jawa Barat","0203","-7.3595,108.2656","",""
"169","Outlet Gegernoong","1690234","Gegernoong, Jawa Barat","0234","-7.3862,108.2323","",""
"170","Outlet Sukamaju","1700886","Sukamaju, Jawa Barat","0886","-7.4325,108.1932","",""
"171","Outlet Condong","1710338","Condong, Jawa Barat","0338","-7.3447,108.2591","",""
"172","Outlet Rancakukun","1720603","Rancakukun, Jawa Barat","0603","-7.3447,108.1744","",""
"173","Outlet Cibeureum","173076","Cibeureum, Jawa Barat","076","-7.3871,108.2349","",""
"174","Outlet Cibeureum","1740373","Cibeureum, Jawa Barat","0373","-7.3552,108.2693","",""
"175","Outlet Sengkol","1750466","Sengkol, Jawa Barat","0466","-7.3711,108.2135","",""
"176","Outlet Tugusirna","1760498","Tugusirna, Jawa Barat","0498","-7.3441,108.2158","",""
"177","Outlet Cigantang Hilir","1770058","Cigantang Hilir, Jawa Barat","0058","-7.3606,108.19","",""
"178","Outlet Bantar","1780167","Bantar, Jawa Barat","0167","-7.3231,108.1897","",""
"179","Outlet Kahuripan","1790081","Kahuripan, Jawa Barat","0081","-7.3471,108.2281","",""
"180","Outlet Panututan","1800018","Panututan, Jawa Barat","0018","-7.341,108.2088","",""
"181","Outlet Kebontiwu","1810686","Kebontiwu, Jawa Barat","0686","-7.3299,108.2274","",""
"182","Outlet Pasanggrahan","1820051","Pasanggrahan, Jawa Barat","0051","-7.3872,108.204","",""
"183","Outlet Kawalu","1830073","Kawalu, Jawa Barat","0073","-7.3817,108.2082","",""
"184","Outlet Lemburwarung","1840001","Lemburwarung, Jawa Barat","0001","-7.3351,108.2627","",""
"185","Outlet Gunungkoneng","1850433","Gunungkoneng, Jawa Barat","0433","-7.3286,108.2105","",""
"186","Outlet Argasari","1860168","Argasari, Jawa Barat","0168","-7.3247,108.2057","",""
"187","Outlet Kosangka","1870101","Kosangka, Jawa Barat","0101","-7.2918,108.206","",""
"188","Outlet Jati","1880018","Jati, Jawa Barat","0018","-7.3037,108.2033","",""
"189","Outlet Tamansari","1890563","Tamansari, Jawa Barat","0563","-7.423,108.1931","",""
"190","Outlet Sambongpari","1900141","Sambongpari, Jawa Barat","0141","-7.3462,108.205","",""
"191","Outlet Gunungbatu","1910989","Gunungbatu, Jawa Barat","0989","-7.3116,108.204","",""
"192","Outlet Sukasari","1920019","Sukasari, Jawa Barat","0019","-7.3258,108.2322","",""
"193","Outlet Kotabaru","1930172","Kotabaru, Jawa Barat","0172","-7.3546,108.2604","",""
"194","Outlet Bungursari","1940194","Bungursari, Jawa Barat","0194","-7.3031,108.1709","",""
"195","Outlet Bantargedang","1950407","Bantargedang, Jawa Barat","0407","-7.3586,108.2497","",""
"196","Outlet Bojongnangka","1960425","Bojongnangka, Jawa Barat","0425","-7.3318,108.2498","",""
"197","Outlet Siluman","1970364","Siluman, Jawa Barat","0364","-7.3421,108.2365","",""
"198","Outlet Citamiang","1980114","Citamiang, Jawa Barat","0114","-7.4058,108.1861","",""
"199","Outlet Sukagenah","199025","Sukagenah, Jawa Barat","025","-7.3546,108.2086","",""
"200","Outlet Awipari Tengah","2000647","Awipari Tengah, Jawa Barat","0647","-7.3511,108.2719","",""
"201","Outlet Tambir","2010351","Tambir, Jawa Barat","0351","-7.377,108.1765","",""
"202","Outlet Simpang","2020982","Simpang, Jawa Barat","0982","-7.2796,108.1674","",""
"203","Outlet Pasirjaya","2030048","Pasirjaya, Jawa Barat","0048","-7.3251,108.2681","",""
"204","Outlet Cilingga","2040986","Cilingga, Jawa Barat","0986","-7.3373,108.1984","",""
"205","Outlet Pakemitan","2050928","Pakemitan, Jawa Barat","0928","-7.2924,108.1998","",""
"206","Outlet Gunungsubang","2060104","Gunungsubang, Jawa Barat","0104","-7.3716,108.1949","",""
"207","Outlet Sukarindik","207036","Sukarindik, Jawa Barat","036","-7.3011,108.1869","",""
"208","Outlet Ampera","2080506","Ampera, Jawa Barat","0506","-7.3226,108.2108","",""
"209","Outlet Tawangsari","2090507","Tawangsari, Jawa Barat","0507","-7.3227,108.2206","",""
"210","Outlet Sindangpalay","2100872","Sindangpalay, Jawa Barat","0872","-7.2891,108.198","",""
"211","Outlet Yudanagara","2110077","Yudanagara, Jawa Barat","0077","-7.3307,108.2164","",""
"212","Outlet Rahayu Dua","2120722","Rahayu Dua, Jawa Barat","0722","-7.3722,108.2349","",""
"213","Outlet Sindanggalih","2130157","Sindanggalih, Jawa Barat","0157","-7.2769,108.173","",""
"214","Outlet Leuwidahu","2140219","Leuwidahu, Jawa Barat","0219","-7.3044,108.2109","",""
"215","Outlet Sudimara","215075","Sudimara, Jawa Barat","075","-7.3626,108.1774","",""
"216","Outlet Cianjur Kidul","2160091","Cianjur Kidul, Jawa Barat","0091","-7.3911,108.2175","",""
"217","Outlet Saripin","2170293","Saripin, Jawa Barat","0293","-7.3325,108.2455","",""
"218","Outlet Margalaksana","2180235","Margalaksana, Jawa Barat","0235","-7.3444,108.224","",""
"219","Outlet Nagarasari","2190394","Nagarasari, Jawa Barat","0394","-7.3003,108.2213","",""
"220","Outlet Kadupandak","2200905","Kadupandak, Jawa Barat","0905","-7.3717,108.2525","",""
"221","Outlet Nyemplong","2210984","Nyemplong, Jawa Barat","0984","-7.418,108.2474","",""
"222","Outlet Cikalang","2220198","Cikalang, Jawa Barat","0198","-7.339,108.2306","",""
"223","Outlet Cibeuti","2230164","Cibeuti, Jawa Barat","0164","-7.3862,108.1889","",""
"224","Outlet Awilega","2240016","Awilega, Jawa Barat","0016","-7.3924,108.2093","",""
"225","Outlet Dadaha","2250555","Dadaha, Jawa Barat","0555","-7.3343,108.2221","",""
"226","Outlet Sukamaju Kidul","2260958","Sukamaju Kidul, Jawa Barat","0958","-7.2831,108.1867","",""
"227","Outlet Tigaraksa","2270913","Tigaraksa, Banten","0913","-6.2281,106.5139","",""
"228","Outlet Gunungpeundeuy","228074","Gunungpeundeuy, Jawa Barat","074","-7.3231,108.2514","",""
"229","Outlet Parakanhonje Wetan","2290742","Parakanhonje Wetan, Jawa Barat","0742","-7.2801,108.1944","",""
"230","Outlet Kebonsari","2300283","Kebonsari, Jawa Timur","0283","-8.0176,112.6191","",""
"231","Outlet Ciruas","2310444","Ciruas, Banten","0444","-6.125,106.2328","",""
"232","Outlet Karangdawa Barat","2320355","Karangdawa Barat, Banten","0355","-6.1318,106.1109","",""
"233","Outlet Padukan","2330975","Padukan, Banten","0975","-6.1495,106.1043","",""
"234","Outlet Pekijing","2340664","Pekijing, Banten","0664","-6.1234,106.1033","",""
"235","Outlet Bandung","2350822","Bandung, Jawa Barat","0822","-7.3993,108.2607","",""
"236","Outlet Cikarang","236046","Cikarang, Jawa Barat","046","-6.364,107.178","",""
"237","Outlet Batang","2370697","Batang, Jawa Tengah","0697","-6.9078,109.7303","",""
"238","Outlet Tambakbaya","2380312","Tambakbaya, Jawa Barat","0312","-7.4034,108.1786","",""
"239","Outlet Tabun","2390244","Tabun, Nusa Tenggara Timur","0244","-10.2175,123.5751","",""
"240","Outlet Manutapen","2400076","Manutapen, Nusa Tenggara Timur","0076","-10.1766,123.5764","",""
"241","Outlet Oebufu","2410378","Oebufu, Nusa Tenggara Timur","0378","-10.1786,123.621","",""
"242","Outlet Nunbaunsabu","2420409","Nunbaunsabu, Nusa Tenggara Timur","0409","-10.1724,123.5662","",""
"243","Outlet Airsagu","2430504","Airsagu, Nusa Tenggara Timur","0504","-10.1999,123.58","",""
"244","Outlet Oetete","2440968","Oetete, Nusa Tenggara Timur","0968","-10.165,123.5873","",""
"245","Outlet Fatufeto","2450774","Fatufeto, Nusa Tenggara Timur","0774","-10.1635,123.5751","",""
"246","Outlet Todekisar","2460378","Todekisar, Nusa Tenggara Timur","0378","-10.1577,123.5842","",""
"247","Outlet Naimata","2470943","Naimata, Nusa Tenggara Timur","0943","-10.1841,123.6405","",""
"248","Outlet Manulai","248059","Manulai, Nusa Tenggara Timur","059","-10.2327,123.566","",""
"249","Outlet Nunutba","2490521","Nunutba, Nusa Tenggara Timur","0521","-10.2183,123.6274","",""
"250","Outlet Nunbaundelha","2500582","Nunbaundelha, Nusa Tenggara Timur","0582","-10.172,123.5698","",""
"251","Outlet Fontein","2510238","Fontein, Nusa Tenggara Timur","0238","-10.1661,123.5822","",""
"252","Outlet Merdeka","2520439","Merdeka, Nusa Tenggara Timur","0439","-10.162,123.5865","",""
"253","Outlet Oebobo","2530311","Oebobo, Nusa Tenggara Timur","0311","-10.1678,123.5992","",""
"254","Outlet Kuanino","2540638","Kuanino, Nusa Tenggara Timur","0638","-10.1709,123.5898","",""
"255","Outlet Nunhila","2550482","Nunhila, Nusa Tenggara Timur","0482","-10.1675,123.5714","",""
"256","Outlet Namosain","2560127","Namosain, Nusa Tenggara Timur","0127","-10.1733,123.5585","",""
"257","Outlet Kelapalima","2570082","Kelapalima, Nusa Tenggara Timur","0082","-10.1499,123.6194","",""
"258","Outlet Airnona","2580767","Airnona, Nusa Tenggara Timur","0767","-10.1814,123.5847","",""
"259","Outlet Luti","2590649","Luti, Nusa Tenggara Timur","0649","-10.2545,123.604","",""
"260","Outlet Bonipoi","2600373","Bonipoi, Nusa Tenggara Timur","0373","-10.1617,123.5803","",""
"261","Outlet Kolhua","2610321","Kolhua, Nusa Tenggara Timur","0321","-10.2139,123.6425","",""
"262","Outlet Naikoten Dua","2620244","Naikoten Dua, Nusa Tenggara Timur","0244","-10.1729,123.598","",""
"263","Outlet Alak","2630387","Alak, Nusa Tenggara Timur","0387","-10.1973,123.5334","",""
"264","Outlet Mantasi","2640722","Mantasi, Nusa Tenggara Timur","0722","-10.1733,123.5804","",""
"265","Outlet Maulafa","2650778","Maulafa, Nusa Tenggara Timur","0778","-10.1861,123.6227","",""
"266","Outlet Bakunase","2660151","Bakunase, Nusa Tenggara Timur","0151","-10.186,123.5864","",""
"267","Outlet Oeba","2670159","Oeba, Nusa Tenggara Timur","0159","-10.1594,123.5918","",""
"268","Outlet Lai Lai Bisi Kopan","2680854","Lai Lai Bisi Kopan, Nusa Tenggara Timur","0854","-10.1628,123.5781","",""
"269","Outlet Solor","2690538","Solor, Nusa Tenggara Timur","0538","-10.1609,123.5819","",""
"270","Outlet Oepura","2700912","Oepura, Nusa Tenggara Timur","0912","-10.189,123.6076","",""
"271","Outlet Fatukoa","27103","Fatukoa, Nusa Tenggara Timur","03","-10.2315,123.6069","",""
"272","Outlet Bonik","2720291","Bonik, Nusa Tenggara Timur","0291","-10.2016,123.6056","",""
"273","Outlet Liliba","2730582","Liliba, Nusa Tenggara Timur","0582","-10.1733,123.6374","",""
"274","Outlet Pasirpanjang","2740909","Pasirpanjang, Nusa Tenggara Timur","0909","-10.1561,123.6021","",""
"275","Outlet Airmata","2750024","Airmata, Nusa Tenggara Timur","0024","-10.1663,123.5777","",""
"276","Outlet Oesapa","2760185","Oesapa, Nusa Tenggara Timur","0185","-10.1485,123.647","",""
"277","Outlet Pasagipasir","2770905","Pasagipasir, Banten","0905","-6.1821,106.1212","",""
"278","Outlet Bojong","2780237","Bojong, Banten","0237","-6.1618,106.0899","",""
"279","Outlet Curug","2790771","Curug, Banten","0771","-5.9813,106.0193","",""
"280","Outlet Kubangkepuh","2800249","Kubangkepuh, Banten","0249","-5.8994,106.0284","",""
"281","Outlet Sleman","2810841","Sleman, Yogyakarta","0841","-7.7156,110.3556","",""
"282","Outlet Gunungangka","282017","Gunungangka, Jawa Barat","017","-7.3431,108.1643","",""
"283","Outlet Pasiripis","2830284","Pasiripis, Jawa Barat","0284","-7.3459,108.1656","",""
